"","Status","B_access","B_use","B_order","B_hrst","G_access","G_use","G_order","G_hrst"
"1","Resistant",87.71,78.39,54.44,35,-0.592862843461403,5.95739252455671,17.5422483468038,6.2857142857143
"2","Non-resistant",91.69,87.77,63.59,35.1,-0.0436252590249668,-2.33564999430329,4.5290139959113,4.84330484330483
"3","Non-resistant",91.83,88.27,62.54,41.2,1.21964499618861,1.92590914240399,8.45858650463703,0.970873786407763
"4","Non-resistant",87.3,83.75,58.01,31.9,0.0801832760595732,-2.6865671641791,5.37838303740735,8.15047021943574
"5","Non-resistant",85.55,83.64,60.79,33.9,0.490940970192872,-2.10425633668102,4.44151998683995,0.294985250737467
"6","Non-resistant",88.68,84.76,66.21,34.6,1.98466396030671,-0.97923548843794,-1.67648391481649,-0.289017341040467
"7","Non-resistant",89.76,86.48,57.02,33.7,-1.8716577540107,-0.0346901017576331,24.8860049105577,2.9673590504451
"8","Non-resistant",92.95,88.24,65,34.4,-1.51694459386767,0.57796917497734,7.07692307692307,3.48837209302326
"9","Non-resistant",90.42,87.52,62.39,31.9,3.29573103295732,2.18235831809873,7.62942779291554,4.70219435736677
"10","Non-resistant",88.97,88.13,59.65,39,0.618185905361355,0.590037444684001,13.3277451802179,5.12820512820513
"11","Non-resistant",92.85,91.48,69.58,36.7,-2.26171243941841,-1.18058592041976,9.98850244323082,1.08991825613079
"12","Non-resistant",92.94,90.78,70.98,36.8,-1.19431891542931,-0.638907248292574,7.03014933784164,6.25000000000001
"13","Resistant",89.2,88.46,70.25,37.8,4.5067264573991,5.47139950260005,15.0320284697509,6.0846560846561
"14","Non-resistant",93.53,93.76,76.03,42.3,0.727039452582051,1.26919795221843,4.36669735630671,6.14657210401892
"15","Non-resistant",90.49,88.85,67.8,31.9,0.154713227980993,0.641530669667988,4.67551622418879,5.01567398119123
"16","Non-resistant",90.96,91.92,75.62,43.6,5.44195250659631,4.25369886858137,6.59878339063739,5.73394495412844
"17","Non-resistant",83.46,82.5,54.3,33.5,4.3613707165109,5.95151515151515,24.8434622467772,0.895522388059693
"18","Resistant",88.66,88.19,56.8,37.8,3.77847958493121,0.215443927882977,8.60915492957747,-0.529100529100518
"19","Resistant",89.98,88.1,65.34,34.5,-3.68970882418316,-3.62088535754824,0.413223140495862,2.31884057971014
"20","Resistant",85.27,85.8,67.52,37,0.398733434971272,-1.73659673659673,-3.74703791469194,6.75675675675676
"21","Non-resistant",70.8,62.22,25.44,20.5,-6.56779661016948,-2.97332047573128,6.87893081761006,5.85365853658536
"22","Non-resistant",73.17,69.05,14.49,21.9,2.17302173021731,-6.74873280231716,69.2201518288475,1.36986301369863
"23","Non-resistant",74.02,64.93,22.74,18.7,4.97162928938126,3.98891113506852,47.7132805628848,9.62566844919786
"24","Non-resistant",74.73,63.41,21.91,21,3.35875819617288,-0.394259580507806,18.667275216796,-1.9047619047619
"25","Non-resistant",77.8,73.71,24.27,34.4,10.3598971722365,8.53344186677521,61.392665842604,7.84883720930233
"26","Non-resistant",75.27,61.31,19.13,19.4,5.20791816128604,6.6710161474474,34.762153685311,-1.03092783505154
"27","Non-resistant",89.61,85.5,38.63,29.1,3.53755161254325,5.87134502923976,22.1589438260419,1.37457044673539
"28","Non-resistant",93.23,94.68,75.19,51.6,1.6196503271479,0.359104351499777,17.3427317462429,5.23255813953488
"29","Non-resistant",87.86,89.24,66.32,33.1,-0.079672205781918,-6.02868668758404,4.32750301568155,-1.81268882175227
"30","Non-resistant",86.42,86.4,61.59,28.6,1.45799583429762,-1.25000000000001,12.7293391784381,-2.0979020979021
"31","Non-resistant",79.3,77.09,53.32,25.6,3.7578814627995,6.22648851991179,20.9677419354839,-1.953125
"32","Non-resistant",86.36,83.49,63.31,29.4,0.602130616025933,0.64678404599354,8.90854525351445,1.02040816326531
"33","Resistant",87.93,82.17,67.29,33.1,2.44512680541339,5.69550930996713,6.71719423391291,6.34441087613293
"34","Non-resistant",84.02,80.85,63.19,26.7,4.86788859795287,6.852195423624,9.30526982117423,8.61423220973783
"35","Non-resistant",89.54,83.72,59.13,28.5,-4.32209068572705,1.74390826564741,23.4906139015728,5.6140350877193
"36","Non-resistant",95.33,96.37,85.77,52.2,0.356655827126826,1.01691397737884,5.52640783490732,1.14942528735631
"37","Non-resistant",94.74,94.3,82.73,38.2,-0.274435296601215,1.21951219512196,6.30968209839236,2.35602094240837
"38","Non-resistant",95.32,95.4,82.65,37.7,0.325220310532944,1.78197064989517,7.68300060496067,4.77453580901856
"39","Non-resistant",96.24,95.55,84.54,41.8,-0.426018287614294,1.08843537414967,5.93801750650579,-0.478468899521521
"40","Non-resistant",95.17,94.25,83.4,35.7,-2.09099506146894,1.72944297082228,5.1199040767386,-1.12044817927172
"41","Non-resistant",90.43,88.43,68.24,33.5,-0.497622470419112,-0.542802216442388,0.278429073856993,1.49253731343284
"42","Non-resistant",88.76,79.7,49.99,25.2,4.10094637223975,4.78042659974906,10.7021404280856,2.77777777777778
"43","Non-resistant",91.14,85.11,54.76,27.3,2.44678516567918,4.8995417694748,10.9386413440468,3.29670329670329
"44","Non-resistant",90.81,85.55,57.6,24.5,3.36967294350843,3.98597311513734,2.67361111111111,1.63265306122448
